strategy,authors,year,source_type,indication,population,comparator,country,currency,currency_year,perspective,time_horizon,discount_rate,outcome_measure,cost,effect,n,scenario,reported_icer,threshold_referenced,conclusion
Caffeine citrate,Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,Methylxanthines (aminophylline/theophylline),GHA,USD,2020,health_system,1 year,0.03,daly,20,0.82,120,base_case,6.7,,Highly cost-effective; dominates or approaches threshold in all countries
Caffeine citrate,Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,Methylxanthines (aminophylline/theophylline),KEN,USD,2020,health_system,1 year,0.03,daly,20,0.82,145,base_case,6.7,,Highly cost-effective; dominates or approaches threshold in all countries
Caffeine citrate,Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,Methylxanthines (aminophylline/theophylline),NGA,USD,2020,health_system,1 year,0.03,daly,25,0.82,200,base_case,8.3,,Highly cost-effective; dominates or approaches threshold in all countries
Caffeine citrate,Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,Methylxanthines (aminophylline/theophylline),TZA,USD,2020,health_system,1 year,0.03,daly,20,0.82,100,base_case,6.7,,Highly cost-effective; dominates or approaches threshold in all countries
Caffeine citrate,Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,Methylxanthines (aminophylline/theophylline),UGA,USD,2020,health_system,1 year,0.03,daly,20,0.82,90,base_case,6.7,,Highly cost-effective; dominates or approaches threshold in all countries
Methylxanthines (aminophylline/theophylline),Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,,GHA,USD,2020,health_system,1 year,0.03,daly,15,0.67,120,base_case,,,Reference standard; less effective than caffeine citrate
Methylxanthines (aminophylline/theophylline),Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,,KEN,USD,2020,health_system,1 year,0.03,daly,15,0.67,145,base_case,,,Reference standard; less effective than caffeine citrate
Methylxanthines (aminophylline/theophylline),Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,,NGA,USD,2020,health_system,1 year,0.03,daly,15,0.67,200,base_case,,,Reference standard; less effective than caffeine citrate
Methylxanthines (aminophylline/theophylline),Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,,TZA,USD,2020,health_system,1 year,0.03,daly,15,0.67,100,base_case,,,Reference standard; less effective than caffeine citrate
Methylxanthines (aminophylline/theophylline),Ekhaguere et al.,2020,journal,Neonatal apnea of prematurity,Preterm neonates <32 weeks gestation,,UGA,USD,2020,health_system,1 year,0.03,daly,15,0.67,90,base_case,,,Reference standard; less effective than caffeine citrate
